순위,핫스팟명,핫스팟코드,종합점수,상권활성도,특화점수,인구통계,등급,특화업종,결제건수,결제금액,업종수
1,홍대 관광특구,POI007,76.5,100.0,51.66,70.02,활성화 (Active Zone),음식·음료 51.7%,151,4050000,4
2,강남역,POI014,63.13,70.95,45.28,70.54,활성화 (Active Zone),여가·오락 45.3%,106,2750000,3
3,용리단길,POI076,60.25,19.67,100.0,74.61,활성화 (Active Zone),음식·음료 100.0%,11,1250000,1
4,회기역,POI056,57.72,14.62,100.0,72.91,보통 (Normal Zone),유통 100.0%,22,175000,1
5,보신각,POI010,56.83,11.29,100.0,74.38,보통 (Normal Zone),음식·음료 100.0%,8,225000,1
6,구로역,POI020,56.66,12.66,100.0,72.0,보통 (Normal Zone),유통 100.0%,9,375000,1
7,강남 MICE 관광특구,POI001,56.11,9.35,100.0,74.56,보통 (Normal Zone),유통 100.0%,6,35000,1
8,광화문·덕수궁,POI009,56.0,8.74,100.0,75.0,보통 (Normal Zone),유통 100.0%,4,25000,1
9,충정로역,POI052,55.97,8.67,100.0,75.0,보통 (Normal Zone),유통 100.0%,4,15000,1
10,청량리 제기동 일대 전통시장,POI081,55.9,9.45,100.0,73.72,보통 (Normal Zone),유통 100.0%,5,85000,1
11,잠실 관광특구,POI005,55.73,47.67,53.03,69.16,보통 (Normal Zone),음식·음료 53.0%,66,2050000,2
12,장한평역,POI049,55.69,10.03,100.0,72.27,보통 (Normal Zone),유통 100.0%,8,55000,1
13,압구정로데오거리,POI071,55.58,11.5,100.0,69.93,보통 (Normal Zone),음식·음료 100.0%,6,325000,1
14,서울식물원·마곡나루역,POI032,55.57,8.82,100.0,73.48,보통 (Normal Zone),유통 100.0%,4,35000,1
15,청담동 명품거리,POI080,55.54,8.82,100.0,73.38,보통 (Normal Zone),유통 100.0%,4,35000,1
16,건대입구역,POI015,55.43,50.46,47.69,69.79,보통 (Normal Zone),유통 47.7%,65,1450000,3
17,김포공항,POI061,55.29,9.35,100.0,71.85,보통 (Normal Zone),유통 100.0%,6,35000,1
18,인사동,POI078,55.06,9.01,100.0,71.52,보통 (Normal Zone),유통 100.0%,5,25000,1
19,뚝섬역,POI025,54.73,11.35,100.0,67.3,보통 (Normal Zone),유통 100.0%,13,55000,1
20,합정역,POI053,54.46,9.95,100.0,68.25,보통 (Normal Zone),유통 100.0%,8,45000,1
21,역삼역,POI042,54.43,10.78,100.0,67.05,보통 (Normal Zone),유통 100.0%,10,85000,1
22,교대역,POI018,54.42,12.13,100.0,65.2,보통 (Normal Zone),유통 100.0%,14,125000,1
23,서울역,POI033,54.41,9.5,100.0,68.7,보통 (Normal Zone),유통 100.0%,6,55000,1
24,종로·청계 관광특구,POI006,54.31,36.03,60.0,72.98,보통 (Normal Zone),음식·음료 60.0%,35,575000,3
25,덕수궁길·정동길,POI064,54.11,8.97,100.0,68.4,보통 (Normal Zone),유통 100.0%,4,55000,1
26,이태원 관광특구,POI004,53.98,34.48,66.67,67.28,보통 (Normal Zone),음식·음료 66.7%,33,1450000,2
27,왕십리역,POI045,53.74,23.45,80.0,67.88,보통 (Normal Zone),유통 80.0%,20,425000,2
28,장지역,POI048,53.56,10.03,100.0,65.18,보통 (Normal Zone),유통 100.0%,8,55000,1
29,이태원역,POI047,53.47,30.41,73.08,64.61,보통 (Normal Zone),음식·음료 73.1%,26,1150000,2
30,고덕역,POI016,53.45,9.16,100.0,65.96,보통 (Normal Zone),유통 100.0%,5,45000,1
31,서촌,POI067,53.4,9.5,100.0,65.34,보통 (Normal Zone),유통 100.0%,6,55000,1
32,신촌·이대역,POI040,53.33,38.84,53.19,72.78,보통 (Normal Zone),유통 53.2%,47,525000,3
33,군자역,POI021,53.26,10.03,100.0,64.17,보통 (Normal Zone),유통 100.0%,8,55000,1
34,가산디지털단지역,POI013,53.21,9.01,100.0,65.36,보통 (Normal Zone),유통 100.0%,5,25000,1
35,용산역,POI046,53.04,10.97,100.0,62.18,보통 (Normal Zone),유통 100.0%,11,75000,1
36,쌍문역,POI070,52.88,8.74,100.0,64.6,보통 (Normal Zone),유통 100.0%,4,25000,1
37,구로디지털단지역,POI019,52.71,21.06,77.78,69.82,보통 (Normal Zone),유통 77.8%,18,175000,2
38,여의도,POI072,52.68,10.81,100.0,61.2,보통 (Normal Zone),유통 100.0%,9,125000,1
39,연신내역,POI043,52.64,37.62,55.88,69.42,보통 (Normal Zone),유통 55.9%,34,825000,3
40,DDP(동대문디자인플라자),POI083,52.6,9.76,100.0,62.32,보통 (Normal Zone),유통 100.0%,7,55000,1
41,북촌한옥마을,POI066,52.56,8.94,100.0,63.27,보통 (Normal Zone),유통 100.0%,5,15000,1
42,혜화역,POI054,52.48,23.13,75.0,69.1,보통 (Normal Zone),음식·음료 75.0%,16,525000,2
43,영등포 타임스퀘어,POI074,52.42,37.25,52.94,72.13,보통 (Normal Zone),음식·음료 52.9%,34,775000,3
44,신림역,POI039,52.03,49.56,37.14,70.21,보통 (Normal Zone),음식·음료 37.1%,70,1150000,3
45,홍대입구역(2호선),POI055,51.8,22.92,72.22,69.9,보통 (Normal Zone),음식·음료 72.2%,18,425000,2
46,가락시장,POI058,51.47,10.39,100.0,57.72,보통 (Normal Zone),유통 100.0%,6,175000,1
47,DMC(디지털미디어시티),POI084,51.17,21.17,76.47,65.88,보통 (Normal Zone),유통 76.5%,17,225000,2
48,광장(전통)시장,POI060,51.12,9.75,100.0,57.39,보통 (Normal Zone),음식·음료 100.0%,5,125000,1
49,수유역,POI036,50.97,34.44,55.17,68.82,보통 (Normal Zone),음식·음료 55.2%,29,575000,3
50,신논현역·논현역,POI037,50.9,23.44,69.23,69.17,보통 (Normal Zone),음식·음료 69.2%,13,675000,2
51,동대문역,POI024,50.85,9.5,100.0,56.85,보통 (Normal Zone),유통 100.0%,6,55000,1
52,서울대입구역,POI031,50.77,19.6,73.33,69.75,보통 (Normal Zone),유통 73.3%,15,85000,2
53,오목교역·목동운동장,POI044,50.72,30.74,63.64,64.44,보통 (Normal Zone),유통 63.6%,22,325000,3
54,해방촌·경리단길,POI082,50.35,26.7,58.33,73.92,보통 (Normal Zone),음식·음료 58.3%,12,1150000,2
55,이태원 앤틱가구거리,POI077,50.27,19.74,69.23,72.02,보통 (Normal Zone),유통 69.2%,13,175000,2
56,선릉역,POI034,50.2,22.02,68.75,69.22,보통 (Normal Zone),유통 68.8%,16,375000,2
57,사당역,POI029,49.09,29.69,54.84,69.2,보통 (Normal Zone),음식·음료 54.8%,31,875000,2
58,창동 신경제 중심지,POI079,48.93,42.12,37.93,69.02,보통 (Normal Zone),여가·오락 37.9%,58,575000,3
59,발산역,POI027,48.8,26.46,56.52,70.86,보통 (Normal Zone),유통 56.5%,23,725000,2
60,미아사거리역,POI026,48.79,20.96,66.67,68.02,보통 (Normal Zone),유통 66.7%,12,375000,2
61,성신여대입구역,POI035,48.43,21.33,68.42,64.57,보통 (Normal Zone),유통 68.4%,19,175000,2
62,노량진,POI063,48.43,24.24,56.52,72.58,보통 (Normal Zone),음식·음료 56.5%,23,425000,2
63,성수카페거리,POI068,48.23,20.64,60.0,73.26,보통 (Normal Zone),유통 60.0%,15,225000,2
64,고속터미널역,POI017,47.98,21.59,70.0,61.16,보통 (Normal Zone),유통 70.0%,20,175000,2
65,동대문 관광특구,POI002,47.37,19.48,58.33,73.6,보통 (Normal Zone),유통 58.3%,12,175000,2
66,가로수길,POI059,46.67,23.87,56.25,67.48,보통 (Normal Zone),음식·음료 56.2%,16,625000,2
67,양재역,POI041,46.17,19.74,69.23,58.36,보통 (Normal Zone),유통 69.2%,13,175000,2
68,연남동,POI073,45.88,24.13,52.94,67.82,보통 (Normal Zone),유통 52.9%,17,625000,2
69,명동 관광특구,POI003,45.25,18.2,60.0,66.57,보통 (Normal Zone),유통 60.0%,10,75000,2
70,천호역,POI050,45.11,29.78,47.06,63.6,보통 (Normal Zone),음식·음료 47.1%,17,375000,3
71,대림역,POI023,44.93,21.43,54.55,66.66,보통 (Normal Zone),유통 54.5%,11,475000,2
72,총신대입구(이수)역,POI051,41.99,18.05,50.0,65.9,보통 (Normal Zone),유통 50.0%,8,125000,2
