순위,구,종합점수,등급,상업활동점수,특화도점수,인구통계점수,경제력점수,주요특화업종,성장률,변동계수,업종다양성,주요연령대,연령대비율,남성비율,여성비율,주요소비,소비비율,등급설명
1,중구,66.9,B급,79.6,70.0,49.1,62.8,결제대행(PG) 특화 (35.0%),1.38% (→유지),17.0,15,40대,55.5,61.4,38.6,교통,40.9,보통 상권
2,마포구,64.8,B급,57.8,72.7,48.6,78.3,ZZ_나머지,+1.67% (↑상승),17.1,8,40대,42.8,17.1,82.9,식료품,33.0,보통 상권
3,영등포구,64.1,B급,48.1,80.2,48.2,80.0,ZZ_나머지,+2.01% (↑상승),17.3,6,30대,49.2,62.6,37.4,교통,30.1,보통 상권
4,서초구,64.0,B급,54.5,96.8,40.2,61.6,한식,-0.79% (→유지),19.9,8,30대,77.2,53.4,46.6,기타,37.2,보통 상권
5,관악구,63.0,B급,37.4,90.5,45.6,80.0,일식,+2.00% (↑상승),18.1,4,30대,39.6,79.9,20.1,교통,33.0,보통 상권
6,동작구,60.8,B급,25.0,98.7,38.5,83.8,슈퍼마켓기업형,+2.76% (↑상승),20.5,2,40대,38.1,65.7,34.3,식료품,33.0,보통 상권
7,강남구,59.4,C급,70.9,51.4,49.8,61.2,학원/학습지,0.62% (→유지),16.8,14,20대,36.9,56.7,43.3,생활용품,51.0,개선 필요
8,중랑구,59.1,C급,33.1,80.1,46.9,79.2,미용실,+1.84% (↑상승),17.7,3,60대이상,38.9,69.6,30.4,식료품,58.4,개선 필요
9,성북구,59.1,C급,26.8,80.8,43.1,89.2,제과점,+3.83% (↑상승),19.0,2,60대이상,42.2,84.7,15.3,교통,33.0,개선 필요
10,강북구,58.8,C급,37.3,92.7,45.4,61.4,한식,0.68% (→유지),18.2,4,30대,62.1,27.9,72.1,기타,33.0,개선 필요
11,구로구,57.5,C급,37.0,70.0,44.6,79.8,결제대행(PG) 특화 (55.1%),+1.96% (↑상승),18.5,4,40대,43.5,46.9,53.1,생활용품,56.8,개선 필요
12,노원구,57.0,C급,31.8,92.3,43.5,62.8,기타식품,1.42% (→유지),18.8,3,40대,64.4,78.3,21.7,생활용품,33.0,개선 필요
13,용산구,56.4,C급,62.8,49.1,49.0,61.9,"호텔/콘도(29.4%), 결제대행(PG)(25.2%)",0.95% (→유지),17.0,9,30대,37.3,37.4,62.6,생활용품,29.7,개선 필요
14,강동구,55.1,C급,25.9,95.6,40.7,61.3,대형마트,0.63% (→유지),19.8,2,50대,52.0,86.5,13.5,식료품,33.0,개선 필요
15,광진구,55.1,C급,25.2,99.0,38.9,60.0,제과점,0.02% (→유지),20.4,2,30대,62.5,57.8,42.2,식료품,33.0,개선 필요
16,성동구,54.8,C급,26.0,93.7,40.9,61.6,주유소,0.81% (→유지),19.7,2,30대,87.0,18.9,81.1,식료품,49.0,개선 필요
17,은평구,54.7,C급,32.6,81.7,45.5,61.5,대형마트,0.74% (→유지),18.2,3,40대,65.5,83.8,16.2,기타,68.2,개선 필요
18,동대문구,53.6,C급,32.8,78.1,46.0,60.4,생활잡화/수입상품점,0.18% (→유지),18.0,3,50대,37.4,92.9,7.1,식료품,33.0,개선 필요
19,금천구,52.7,C급,37.3,67.7,45.3,62.1,대형마트,1.06% (→유지),18.2,4,40대,69.1,81.2,18.8,생활용품,33.0,개선 필요
20,종로구,52.2,C급,43.2,57.5,47.9,61.3,한식,0.64% (→유지),17.4,5,30대,41.9,100.0,0.0,식료품,33.0,개선 필요
21,도봉구,50.3,C급,32.8,65.3,45.9,60.1,실내/실외골프장,-0.03% (→유지),18.0,3,50대,90.4,0.0,100.0,생활용품,33.0,개선 필요
22,송파구,48.6,D급,25.8,70.0,40.4,61.3,전자상거래(다품목취급) 특화 (94.,-0.63% (→유지),19.9,2,40대,77.4,23.8,76.2,생활용품,32.6,저활성 지역
23,서대문구,45.4,D급,32.4,81.1,44.9,25.8,백화점,-2.42% (↓하락),18.4,3,20대,46.1,64.6,35.4,N/A,0.0,저활성 지역
24,강서구,35.9,D급,19.4,30.0,36.5,61.3,데이터 부족,0.63% (→유지),21.2,1,30대,61.5,45.2,54.8,식료품,33.0,저활성 지역
