구,특징,업종다양성,소비안정성,특화업종,특화비율,업종수,변동계수
강남구,학원/학습지 특화 (31.4%),보통(14개),안정적(16.8%),학원/학습지,31.4,14,16.75
강동구,대형마트 특화 (87.1%),낮음(2개),안정적(19.8%),대형마트,87.1,2,19.76
강북구,한식 특화 (78.2%),낮음(4개),안정적(18.2%),한식,78.2,4,18.21
강서구,기타요식 특화 (100.0%),낮음(1개),보통(21.2%),기타요식,100.0,1,21.16
관악구,일식 특화 (71.4%),낮음(4개),안정적(18.1%),일식,71.4,4,18.13
광진구,제과점 특화 (97.4%),낮음(2개),보통(20.4%),제과점,97.4,2,20.36
구로구,결제대행(PG) 특화 (55.1%),낮음(4개),안정적(18.5%),결제대행(PG),55.1,4,18.48
금천구,대형마트 특화 (47.7%),낮음(4개),안정적(18.2%),대형마트,47.7,4,18.24
노원구,기타식품 특화 (76.9%),낮음(3개),안정적(18.8%),기타식품,76.9,3,18.84
도봉구,실내/실외골프장 특화 (45.3%),낮음(3개),안정적(18.0%),실내/실외골프장,45.3,3,18.04
동대문구,생활잡화/수입상품점 특화 (58.1%),낮음(3개),안정적(18.0%),생활잡화/수입상품점,58.1,3,18.01
동작구,슈퍼마켓기업형 특화 (96.4%),낮음(2개),보통(20.5%),슈퍼마켓기업형,96.4,2,20.49
마포구,ZZ_나머지 특화 (52.7%),낮음(8개),안정적(17.1%),ZZ_나머지,52.7,8,17.13
서대문구,백화점 특화 (61.1%),낮음(3개),안정적(18.4%),백화점,61.1,3,18.35
서초구,한식 특화 (90.5%),낮음(8개),안정적(19.9%),한식,90.5,8,19.92
성동구,주유소 특화 (81.3%),낮음(2개),안정적(19.7%),주유소,81.3,2,19.69
성북구,제과점 특화 (60.8%),낮음(2개),안정적(19.0%),제과점,60.8,2,18.98
송파구,전자상거래(다품목취급) 특화 (94.3%),낮음(2개),안정적(19.9%),전자상거래(다품목취급),94.3,2,19.86
영등포구,ZZ_나머지 특화 (60.2%),낮음(6개),안정적(17.3%),ZZ_나머지,60.2,6,17.26
용산구,"호텔/콘도(29.4%), 결제대행(PG)(25.2%)",낮음(9개),안정적(17.0%),,,9,16.99
은평구,대형마트 특화 (61.7%),낮음(3개),안정적(18.2%),대형마트,61.7,3,18.18
종로구,한식 특화 (37.5%),낮음(5개),안정적(17.4%),한식,37.5,5,17.37
중구,결제대행(PG) 특화 (35.0%),높음(15개),안정적(17.0%),결제대행(PG),35.0,15,16.98
중랑구,미용실 특화 (60.1%),낮음(3개),안정적(17.7%),미용실,60.1,3,17.71
